                        * ELE339 BJT Modeling IC vs. IB
             DC transfer characteristic  Thu Jun 29 22:13:46  2023
--------------------------------------------------------------------------------
Index     sweep         v(1)          v(3)          v(99)         vc#branch   
228       2.28000e+00   6.74321e-01   2.28000e+00   2.28000e+00   1.41177e-03 
229       2.29000e+00   6.74321e-01   2.29000e+00   2.29000e+00   1.41195e-03 
230       2.30000e+00   6.74321e-01   2.30000e+00   2.30000e+00   1.41214e-03 
231       2.31000e+00   6.74321e-01   2.31000e+00   2.31000e+00   1.41233e-03 
232       2.32000e+00   6.74321e-01   2.32000e+00   2.32000e+00   1.41251e-03 
233       2.33000e+00   6.74321e-01   2.33000e+00   2.33000e+00   1.41270e-03 
234       2.34000e+00   6.74321e-01   2.34000e+00   2.34000e+00   1.41289e-03 
235       2.35000e+00   6.74321e-01   2.35000e+00   2.35000e+00   1.41307e-03 
236       2.36000e+00   6.74321e-01   2.36000e+00   2.36000e+00   1.41326e-03 
237       2.37000e+00   6.74321e-01   2.37000e+00   2.37000e+00   1.41345e-03 
238       2.38000e+00   6.74321e-01   2.38000e+00   2.38000e+00   1.41363e-03 
239       2.39000e+00   6.74321e-01   2.39000e+00   2.39000e+00   1.41382e-03 
240       2.40000e+00   6.74321e-01   2.40000e+00   2.40000e+00   1.41401e-03 
241       2.41000e+00   6.74321e-01   2.41000e+00   2.41000e+00   1.41419e-03 
242       2.42000e+00   6.74321e-01   2.42000e+00   2.42000e+00   1.41438e-03 
243       2.43000e+00   6.74321e-01   2.43000e+00   2.43000e+00   1.41457e-03 
244       2.44000e+00   6.74321e-01   2.44000e+00   2.44000e+00   1.41475e-03 
245       2.45000e+00   6.74321e-01   2.45000e+00   2.45000e+00   1.41494e-03 
246       2.46000e+00   6.74321e-01   2.46000e+00   2.46000e+00   1.41513e-03 
247       2.47000e+00   6.74321e-01   2.47000e+00   2.47000e+00   1.41531e-03 
248       2.48000e+00   6.74321e-01   2.48000e+00   2.48000e+00   1.41550e-03 
249       2.49000e+00   6.74321e-01   2.49000e+00   2.49000e+00   1.41569e-03 
250       2.50000e+00   6.74321e-01   2.50000e+00   2.50000e+00   1.41587e-03 
251       2.51000e+00   6.74321e-01   2.51000e+00   2.51000e+00   1.41606e-03 
252       2.52000e+00   6.74321e-01   2.52000e+00   2.52000e+00   1.41625e-03 
253       2.53000e+00   6.74321e-01   2.53000e+00   2.53000e+00   1.41643e-03 
254       2.54000e+00   6.74321e-01   2.54000e+00   2.54000e+00   1.41662e-03 
255       2.55000e+00   6.74321e-01   2.55000e+00   2.55000e+00   1.41681e-03 
256       2.56000e+00   6.74321e-01   2.56000e+00   2.56000e+00   1.41699e-03 
257       2.57000e+00   6.74321e-01   2.57000e+00   2.57000e+00   1.41718e-03 
258       2.58000e+00   6.74321e-01   2.58000e+00   2.58000e+00   1.41737e-03 
259       2.59000e+00   6.74321e-01   2.59000e+00   2.59000e+00   1.41755e-03 
